type_shoes,price,address,image_link
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253911_uploaded_image1_1574754172.83.png
Chaussures disponibles,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253905_uploaded_image1_1574754096.13.png
Chaussures,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1253900_uploaded_image1_1574754055.58.png
Chaussures enfant,10 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1250541_uploaded_image1_1574686627.04.png
Chaussures Tod's pour enfant,6 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1239489_uploaded_image1_1574453297.97.png
Chaussures Kito,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1237671_uploaded_image1_1574426385.48.png
Chaussures Kito,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1237661_uploaded_image1_1574426292.09.png
Chaussures Kito enfant,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1237651_uploaded_image1_1574426171.61.png
Chaussures Treillis,17 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1201271_uploaded_image1_1573771787.46.png
Baskets femme,12 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1190976_uploaded_image1_1573602768.71.png
Chaussures enfant,10 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1182610_uploaded_image1_1573467433.76.png
Chaussures bébé,4 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1141032_uploaded_image1_1572617107.31.png
Chaussures bébé en laine,3 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1133599_uploaded_image1_1572463281.23.png
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1116306_uploaded_image1_1572138154.97.png
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1116301_uploaded_image1_1572137955.41.png
Baskets enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1116299_uploaded_image1_1572137655.24.png
Chaussures pour princesse,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1088436_uploaded_image1_1571615114.34.png
Chaussures Kito,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1088430_uploaded_image1_1571614951.6.png
Chaussures Kito,13 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1088427_uploaded_image1_1571614825.97.png
Chaussures George,9 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1086110_uploaded_image1_1571567127.59.png
Chaussures Smartfit,6 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1086097_uploaded_image1_1571566943.75.png
Chaussures George,8 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1086073_uploaded_image1_1571566535.55.png
Chaussures plates,9 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1086060_uploaded_image1_1571566342.01.png
Chaussures Lonsdale,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085485_uploaded_image1_1571548869.0.png
Chaussures Londsale,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085484_uploaded_image1_1571548744.67.png
Chaussures Enfants,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085482_uploaded_image1_1571548597.08.png
Chaussures enfants,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085481_uploaded_image1_1571548427.66.png
Baskets Adidas,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085479_uploaded_image1_1571548126.46.png
Baskets enfant,6 500CFA,"Treichville, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_1085475_uploaded_image1_1571547734.78.png
Chaussures enfants,12 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2589346_uploaded_image1_1598899188.jpg
Baskets Jordan,18 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2580305_uploaded_image1_1598538247.jpg
Baskets Nike Air Max 720,17 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2577211_uploaded_image1_1598436747.jpg
Chaussures Yeezy Boost 350,16 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576723_uploaded_image1_1598410896.jpg
Baskets Jordan,16 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576720_uploaded_image1_1598410782.jpg
Baskets Nike Air Max 720,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576718_uploaded_image1_1598410624.jpg
Baskets Nike Air Max 720,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576717_uploaded_image1_1598410503.jpg
Baskets Puma,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576715_uploaded_image1_1598410296.jpg
Baskets Nike Vapor Max,15 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2576714_uploaded_image1_1598410204.jpg
Chaussures pour enfants,6 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2566712_uploaded_image1_1598101269.jpg
Chaussures pour enfants,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2566711_uploaded_image1_1598101240.jpg
Chaussures pour enfants,8 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2566710_uploaded_image1_1598101205.jpg
Chaussures  enfants,18 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2563752_uploaded_image1_1598012095.jpg
Chaussures fermées / filles & garçons,5 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2553504_uploaded_image1_1597750568.jpg
Chaussures enfants,2 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2548665_uploaded_image1_1597601641.jpg
Mocassins enfant,8 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2506419_uploaded_image1_1596420271.jpg
Ballerines Enfant,5 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496847_uploaded_image1_1596056146.jpg
Ballerines Or Enfant,6 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2496841_uploaded_image1_1596055953.jpg
Baskets Air Force Nike,14 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2468648_uploaded_image1_1595406123.jpg
Chaussures  enfants,9 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2448291_uploaded_image1_1594931610.jpg
Chaussures  enfants,9 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2448289_uploaded_image1_1594931580.jpg
Mocassins  enfant,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2444710_uploaded_image1_1594858240.jpg
Mocassins Tod's,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2444636_uploaded_image1_1594856250.jpg
Mocassins Tod's enfants,7 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2444632_uploaded_image1_1594856178.jpg
Chaussures  enfant,13 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2443782_uploaded_image1_1594839899.jpg
Chaussures enfant,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2443284_uploaded_image1_1594831316.jpg
Chaussures enfant,6 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2443265_uploaded_image1_1594831169.jpg
Baskets Enfants,4 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430963_uploaded_image1_1594578436.jpg
Chaussures Enfants,4 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430958_uploaded_image1_1594578307.jpg
Chaussures,3 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430954_uploaded_image1_1594578181.jpg
Chaussures Enfants,4 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430936_uploaded_image1_1594577819.jpg
Chaussures Enfants,2 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430917_uploaded_image1_1594577349.jpg
Chaussures Enfants,3 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430909_uploaded_image1_1594577174.jpg
Chaussures Enfants,4 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430898_uploaded_image1_1594576940.jpg
Chaussures enfants,3 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430885_uploaded_image1_1594576760.jpg
Chaussures Enfants,3 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430861_uploaded_image1_1594576392.jpg
Chaussures enfants,2 500CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430850_uploaded_image1_1594576234.jpg
Chaussures enfants,4 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2430802_uploaded_image1_1594575694.jpg
Sandales / enfants,7 000CFA,"Port-Bouet, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2392624_uploaded_image1_1593870303.jpg
Mocassins homme,10 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2388587_uploaded_image1_1593794148.jpg
Chaussures enfant,Prix sur demande,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2375560_uploaded_image1_1593602561.jpg
Baskets Yeezy,14 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2373919_uploaded_image1_1593567212.jpg
Ballerines enfant,3 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2358118_uploaded_image1_1593298514.jpg
