type_clothes,price,address,image_link
Robe de friperie,2 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2773262_uploaded_image1_1605793012.jpg
Habits de friperie bébé,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2759436_uploaded_image1_1605269917.jpg
Jupes enfants,3 500CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2739691_uploaded_image1_1604568199.jpg
Vêtement Enfants,1 500CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2734575_uploaded_image1_1604405423.jpg
Chemise enfant,1 000CFA,"Bingerville, Côte d'Ivoire",https://images.coinafrique.com/thumb_2727389_uploaded_image1_1604083783.jpg
Vêtements enfants,13 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2724671_uploaded_image1_1603956063.jpg
Vêtement bébé,15 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2721787_uploaded_image1_1603816057.jpg
Vêtements enfants,4 500CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2718022_uploaded_image1_1603662051.jpg
Tenue scolaire,8 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2674196_uploaded_image1_1601923909.jpg
Robe princesse,5 000CFA,"Koumassi, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2667866_uploaded_image1_1601674379.jpg
Vêtement Enfant,6 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2660389_uploaded_image1_1601426230.jpg
Vêtements enfant,Prix sur demande,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2658639_uploaded_image1_1601376346.jpg
Pyjamas  / nuisettes,5 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2649278_uploaded_image1_1600958700.jpg
Robes princesse,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2648661_uploaded_image1_1600945861.jpg
Nuisettes et robes de nuit,7 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2648447_uploaded_image1_1600940440.jpg
Pyjamas enfants,4 500CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2648439_uploaded_image1_1600940299.jpg
Vêtements d'école,Prix sur demande,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2647511_uploaded_image1_1600890503.jpg
Robe princesse,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2645970_uploaded_image1_1600851442.jpg
Tee-shirts,5 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2634993_uploaded_image1_1600425569.jpg
Pantalon fille,9 000CFA,"Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2623821_uploaded_image1_1600033836.jpg
Habits enfant,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2594166_uploaded_image1_1599044316.jpg
Tenue scolaire,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2582776_uploaded_image1_1598630927.jpg
Tenue scolaire,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2582774_uploaded_image1_1598630876.jpg
Tenue scolaire,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2582765_uploaded_image1_1598630807.jpg
Tenue scolaire,8 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2582764_uploaded_image1_1598630747.jpg
Tenue scolaire,7 000CFA,"Marcory, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2582763_uploaded_image1_1598630685.jpg
Pyjama enfant,6 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2580981_uploaded_image1_1598557739.jpg
Vêtements enfants,5 000CFA,"Cocody, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2574189_uploaded_image1_1598346863.jpg
Habits de bébé,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2568776_uploaded_image1_1598183193.jpg
Habit en laine,12 000CFA,"Adjamé, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2568764_uploaded_image1_1598182922.jpg
Grenouillères bébé,1 000CFA,"Yopougon, Abidjan, Côte d'Ivoire",https://images.coinafrique.com/thumb_2567801_uploaded_image1_1598133818.jpg
